,Zaber_pos,Percen,F_avg,M1,M0,F_avg_noise,M1_noise,M0_noise
152,806664.0,0.0,1320.2125057928047,7.016418164214608e-06,5.314612710778071e-09,1320.2125057928047,-1.8500216492496706e-05,-7.419649639450964e-08
153,806839.0,0.0,1048.4072806272789,2.2628513888314095e-05,2.1583705403853257e-08,1048.4072806272789,-2.8881207683972126e-06,-5.792740370143444e-08
154,806839.0,0.0,1257.8988534390978,2.2478703162231652e-06,1.7870040266572177e-09,1257.8988534390978,-2.326876434048815e-05,-7.772410507863049e-08
155,806839.0,0.0,4114.7957325240695,1.3144170877594937e-06,3.194367772305463e-10,4114.7957325240695,-2.420221756895181e-05,-7.919167232805717e-08
156,807014.0,0.0,1859.4076622896657,1.3535774361694142e-06,7.279616318793833e-10,1859.4076622896657,-2.416305722054189e-05,-7.87831474734083e-08
157,807014.0,0.0,1053.310894339121,4.6177237434601076e-06,4.384008338162501e-09,1053.310894339121,-2.0898910913251203e-05,-7.512710076712517e-08
158,807014.0,0.0,1187.7947843960128,1.2728559906996424e-06,1.0716127124155397e-09,1187.7947843960128,-2.4243778666011655e-05,-7.843949639287214e-08
159,807190.0,0.0,1118.1846716150562,8.419031915887712e-05,7.529196321147594e-08,1118.1846716150562,5.867368450216582e-05,-4.219145893811771e-09
160,807190.0,0.0,1205.427885661825,9.651750328707435e-06,8.006908122428462e-09,1205.427885661825,-1.5864884328003864e-05,-7.150420098285926e-08
161,807190.0,0.0,1689.267817507711,3.2504549876438678e-06,1.924179786032673e-09,1689.267817507711,-2.2266179669067435e-05,-7.758692931925502e-08
162,807365.0,0.0,1170.7945493777065,1.4390724557085504e-05,1.2291417452134853e-08,1170.7945493777065,-1.112591009962581e-05,-6.721969165315284e-08
163,807365.0,0.0,1968.8753133400078,4.629111403965254e-06,2.3511450281289833e-09,1968.8753133400078,-2.0887523252746055e-05,-7.715996407715869e-08
164,807365.0,0.0,2662.4163755876075,9.661689411161596e-07,3.628917512584491e-10,2662.4163755876075,-2.4550465715595147e-05,-7.914821735402925e-08
165,807540.0,0.0,1188.2700436882396,3.3040086922393e-05,2.7805200592148866e-08,1188.2700436882396,7.523452265681698e-06,-5.170590851313884e-08
166,807540.0,0.0,1999.8536527329818,1.33445419392355e-06,6.672759239656847e-10,1999.8536527329818,-2.4182180462787752e-05,-7.884383318132203e-08
167,807540.0,0.0,1205.2928967191037,3.2531587882795713e-06,2.699060781935171e-09,1205.2928967191037,-2.226347586843174e-05,-7.681204832335251e-08
168,807715.0,0.0,1056.236737969187,5.173648715535274e-05,4.898190462000576e-08,1056.236737969187,2.6219852498641437e-05,-3.052920448528196e-08
169,807715.0,0.0,3227.6524353598998,1.6315462196297593e-06,5.054900588910013e-10,3227.6524353598998,-2.388508843708155e-05,-7.90056190463967e-08
170,807715.0,0.0,1213.908028871264,4.9361802853900746e-06,4.066354425532481e-09,1213.908028871264,-2.0580454371321234e-05,-7.544475467975524e-08
171,807891.0,0.0,1274.8105768757657,2.7618940940454574e-06,2.1665133190329755e-09,1274.8105768757657,-2.275474056266585e-05,-7.734459578625472e-08
172,807891.0,0.0,4213.276559913173,1.3989038992102824e-06,3.3202280441783085e-10,4213.276559913173,-2.4117730757501023e-05,-7.917908630086987e-08
173,807891.0,0.0,2728.708837330098,9.000865833348178e-07,3.298580526515634e-10,2728.708837330098,-2.4616548073376494e-05,-7.91812510526361e-08
174,808066.0,0.0,1232.7045991766856,3.0896078174922994e-05,2.5063651255587315e-08,1232.7045991766856,5.379443518211696e-06,-5.444745784970039e-08
175,808066.0,0.0,4355.927967849873,3.3961677150444655e-06,7.796657199363299e-10,4355.927967849873,-2.2120466941666842e-05,-7.87314433853514e-08
176,808066.0,0.0,3084.8018093883197,5.969439228912869e-06,1.9351127228807413e-09,3084.8018093883197,-1.9547195427798433e-05,-7.757599638240697e-08
177,808241.0,0.0,1290.9837857454586,6.13737068469983e-05,4.754026156227749e-08,1290.9837857454586,3.5857072190287005e-05,-3.1970847543010214e-08
178,808241.0,0.0,2115.221724556186,3.1578419281298596e-06,1.4929129610714616e-09,2115.221724556186,-2.2358792728581442e-05,-7.801819614421625e-08
179,808241.0,0.0,3117.4312308215435,5.331941625624709e-06,1.7103638318974468e-09,3117.4312308215435,-2.018469303108659e-05,-7.780074527339024e-08
180,808416.0,0.0,1135.167520708223,1.566569154004722e-05,1.3800334535887274e-08,1135.167520708223,-9.850943116664088e-06,-6.571077456940041e-08
181,808416.0,0.0,2515.970215384593,1.8924272231407746e-06,7.521659881221992e-10,2515.970215384593,-2.3624207433570534e-05,-7.87589431171655e-08
182,808416.0,0.0,4717.524505445487,1.8929674772145827e-06,4.012628816298698e-10,4717.524505445487,-2.3623667179496726e-05,-7.910984622365784e-08
